Episode ID,Video ID,Youtube URL,主题,博主,Channel URL,Start Timestamp,Comment
,,请前往上一周对应期数（Episode 43-48）寻找哦,复习课,请前往上一周对应期数（Episode 43-48）寻找哦,,,
,,https://www.youtube.com/watch?v=3GjY3VZU2cw,旅游娱乐,Sydney Serena,,,
51,,https://www.youtube.com/watch?v=7mQfhhVd_Q0,化妆服装,Fernanda Ramirez,,,
,,https://www.youtube.com/watch?v=NTe5grrbGMM&t=849s,学习工作,Ellen Miller,,,
,,https://www.youtube.com/watch?v=kpEh8Y-Xffo&t=82s,日常感想/趣事,Sydney Serena,,,
,,https://www.youtube.com/watch?v=M_lwC5zPkyo,美食烹饪,Doug Barnard,,,
,,https://www.youtube.com/watch?v=xgs2DcdBbSw,"学习工作,天气季节",Elena Taber,,,
,,请前往上一周对应期数（Episode 50-55）寻找哦,复习课,请前往上一周对应期数（Episode 50-55）寻找哦,,,
,,https://www.youtube.com/watch?v=Z2_YXRPmkD8&t=517s,化妆服装,Sydney Serena,,,
,,https://www.youtube.com/watch?v=jhEtBuuYNj4,美食烹饪,Ariannita la Gringa,,,
,,https://www.youtube.com/watch?v=pzx2V3m7CFc,旅游娱乐,Ellen Miller,,,
,,https://www.youtube.com/watch?v=Xq6F6GFYvZI,日常感想/趣事,Meli Mel,,,
,,https://www.youtube.com/watch?v=qRmvt8wzhDs,学习工作,Zhirelle,,,
,,https://www.youtube.com/watch?v=Z_LvWuCq76U&t=615s,运动健身,Eurosport Tennis,,,
,,请前往上一周对应期数（Episode 57-62）寻找哦,复习课,请前往上一周对应期数（Episode 57-62）寻找哦,,,
,,https://www.youtube.com/watch?v=7hr60EumwQ4,日常感想/趣事,Jak Piggott,,,
,,https://www.youtube.com/watch?v=E52vIVsCsyE,日常感想/趣事,Sydney Serena,,,
,,https://www.youtube.com/watch?v=4rpKPvDpWxM,美食烹饪,GAINSBYBRAINS,,,
,,https://www.youtube.com/watch?v=4rpKPvDpWxM,美食烹饪,GAINSBYBRAINS,,,
,,https://www.youtube.com/watch?v=Sc1MUWhMG18,美食烹饪,JOLLY,,,
,,https://www.youtube.com/watch?v=Sc1MUWhMG18,美食烹饪,JOLLY,,,
70,,请前往上一周对应期数（Episode 64-69）寻找哦,复习课,请前往上一周对应期数（Episode 64-69）寻找哦,,,
,,https://www.youtube.com/watch?v=25sUO13GIe8,学习工作,Amy Cheah,,,
,,https://www.youtube.com/watch?v=zS3zaqmSGyM,学习工作,clarisseintheclouds,,,
,,https://www.youtube.com/watch?v=Diwo7SkSLWg,日常感想/趣事,Anna Neubert,,,
,,https://www.youtube.com/watch?v=Pz68t3RGeqI,化妆服装,Sydney Serena,,,
,,https://www.youtube.com/watch?v=Uc9HnJVyrqE,学习工作,Maria Trappen,,,
,,https://www.youtube.com/watch?v=Uc9HnJVyrqE,日常感想/趣事,Maria Trappen,,,
,,请前往上一周对应期数（Episode 71-76）寻找哦,复习课,请前往上一周对应期数（Episode 71-76）寻找哦,,,
,,https://www.youtube.com/watch?v=NPXCC8KLfYc,日常感想/趣事,Hannah Elise,,,
,,https://www.youtube.com/watch?v=53xQQQ0vhPU,"其他,日常感想/趣事",Hannah Elise,,,
,,https://www.youtube.com/watch?v=GIyNUpiC24k&t=17s,天气季节,Freddy My Love,,,
,,https://www.youtube.com/watch?v=GH8TmQajpys&t=97s,"其他,日常感想/趣事",jarissa.e,,,
,,https://www.youtube.com/watch?v=8g9UCR_tXZQ,其他,Sister forever,,,
,,https://www.youtube.com/watch?v=GIyNUpiC24k&t=17s,天气季节,Freddy My Love,,,
,,请前往上一周对应期数（Episode 78-83）寻找哦,复习课,请前往上一周对应期数（Episode 78-83）寻找哦,,,
,,https://www.youtube.com/watch?v=46GLsnVeHNg,其他,Katja Nordkvist,,,
,,https://www.youtube.com/watch?v=Cw9oEGdQr-U&t=144s,日常感想/趣事,Ellen Miller,,,
,,https://www.youtube.com/watch?v=Cw9oEGdQr-U&t=144s,日常感想/趣事,Ellen Miller,,,
,,https://www.youtube.com/watch?v=LpIDd9El5lM,日常感想/趣事,TheCottageFairy,,,
,,https://www.youtube.com/watch?v=NmxOvcwzn0A,美食烹饪,JOLLY,,,
,,https://www.youtube.com/watch?v=vZdYo_1Pwz8,旅游娱乐,Brigette Laurie,,,
,,请前往上一周对应期数（Episode 85-90）寻找哦,复习课,请前往上一周对应期数（Episode 85-90）寻找哦,,,
,,https://www.youtube.com/watch?v=axRYriGwzms,日常感想/趣事,Sydney Serena,,,
,,https://www.youtube.com/watch?v=x8zfsf4azLo&t=463s,其他,Variety,,,
,,https://www.youtube.com/watch?v=dDpTk-Zcccw,其他,Entertainment Tonight,,,
,,https://www.youtube.com/watch?v=IGbAH2YgKBs,日常感想/趣事,Nittany Biggs,,,
,,https://www.youtube.com/watch?v=m11U3g0ABnQ,"天气季节,日常感想/趣事",Michelle Reed,,,
,,https://www.youtube.com/@RubyGranger8,学习工作,Ruby Granger,,,
,,请前往上一周对应期数（Episode 92-97）寻找哦,复习课,请前往上一周对应期数（Episode 92-97）寻找哦,,,
,,https://www.youtube.com/watch?v=IgiO_GmNbKU,学习工作,Taylor Bell,,,
100,,https://www.youtube.com/watch?v=NtJ1wPCUxCI&t=382s,美食烹饪,ur mom ashley,,,
,,https://www.youtube.com/watch?v=bMkznpM63cI,日常感想/趣事,Vanessa Lau,,,
,,https://www.youtube.com/watch?v=_vecpj_CRLw,"日常感想/趣事,其他",Christina Mychas,,,
,,https://www.youtube.com/watch?v=IgiO_GmNbKU&t=819s,学习工作,Taylor Bell,,,
,,https://www.youtube.com/watch?v=_vecpj_CRLw,"日常感想/趣事,其他",Christina Mychas,,,
,,请前往上一周对应期数（Episode 99-104）寻找哦,复习课,请前往上一周对应期数（Episode 99-104）寻找哦,,,
,,https://www.youtube.com/watch?v=myEv9kyeVU8,"化妆服装,天气季节",Ellen Miller,,,
,,https://www.youtube.com/watch?v=nWKxG9uobHQ,美食烹饪,BROOKI,,,
,,https://www.youtube.com/watch?v=myEv9kyeVU8,"化妆服装,日常感想/趣事",Ellen Miller,,,
,,https://www.youtube.com/watch?v=EOqO8G6fgnM,其他,Lancelloti,,,
,,https://www.youtube.com/watch?v=3U8QqMepHM8,学习工作,Taylor Bell,,,
,,https://www.youtube.com/watch?v=3U8QqMepHM8,学习工作,Taylor Bell,,,
,,https://www.youtube.com/watch?v=fEnAg5dSY9s&t=284s,学习工作,Amy Cheah,,,
,,https://www.youtube.com/watch?v=P0gLVBudkLY,日常感想/趣事,Freddy My Love,,,
,,https://www.youtube.com/watch?v=P0gLVBudkLY,日常感想/趣事,Freddy My Love,,,
,,https://www.youtube.com/watch?v=jvpYF_VTbIM&t=880s,化妆服装,Freddy My Love,,,
,,https://www.youtube.com/watch?v=jvpYF_VTbIM&t=880s,化妆服装,Freddy My Love,,,
,,https://www.youtube.com/watch?v=THfdYRlfpVg,美食烹饪,Sydney Serena,,,
